,N Clusters,Gaussian Mixture Timing,K-Means Timing,Gaussian Mixture Score,Gaussian Mixture AMI,Gaussian Mixture NMI,K-Means Score,K-Means AMI,K-Means NMI
0,1,0.03699660301208496,0.039003610610961914,-46.15545178137551,-7.965324741523529e-17,7.232788560140362e-17,-109617.00000000012,-7.965324741523529e-17,7.232788560140362e-17
1,2,0.34317851066589355,0.18172407150268555,-4.617368958553991,0.16786696258645534,0.1693720385252424,-100423.84303432592,0.2865054175103414,0.28771492973040047
2,3,0.42303991317749023,0.15693378448486328,18.46855595836547,0.3450281316913554,0.3471535249006206,-93835.95523037435,0.4017411706269829,0.40351456300852817
3,4,0.5620031356811523,0.39499425888061523,43.38322833224091,0.3235974036479159,0.326769306938293,-89119.53604390807,0.45352466826976423,0.455767203245536
4,5,0.5444655418395996,0.2680375576019287,49.89622406058744,0.3768949162294175,0.38050957595684715,-85200.3345306325,0.5064037380179898,0.5089750629984063
5,6,0.808607816696167,0.4289512634277344,43.72948671450462,0.47071854180857853,0.47409461984233753,-81750.63880486696,0.5894674126919973,0.5920540744998869
6,7,0.6415514945983887,0.2794837951660156,46.727504760638,0.5337412911399819,0.5371725278656126,-78352.79261928739,0.5315531032346313,0.5349889595279836
7,8,2.0799973011016846,0.39399266242980957,58.110634128171476,0.5379765816808582,0.5421730939633062,-74931.94548288753,0.6556917784208054,0.6586055242860309
8,9,0.7245135307312012,0.272000789642334,51.27496014332037,0.6627320508429,0.6659104654088814,-72235.06320625158,0.6731585585958636,0.6762095141264105
9,10,0.6747677326202393,0.6191940307617188,55.278310541294324,0.710589040384634,0.7135559834176736,-69437.29782182132,0.6214047846528331,0.6253498237227383
10,11,1.0538382530212402,0.4195098876953125,57.74853044521809,0.7385270261056835,0.741420488297635,-67149.30417992937,0.6171498555025093,0.6213584494390804
11,12,1.104011058807373,0.3175342082977295,59.80709799613075,0.7166051388220234,0.7200068318702029,-65979.15381371224,0.7034207661776188,0.7069863595007392
12,13,1.336500883102417,0.5321252346038818,62.86591556547568,0.7278662379620535,0.731377999133055,-63448.21324489826,0.6827317234575898,0.6870430705432601
13,14,0.9184129238128662,0.40162229537963867,63.042633947089456,0.7269912041581194,0.7307745444645957,-61386.66012042708,0.670354146701234,0.6749943677236114
14,15,0.9678473472595215,0.6096601486206055,69.90433999143261,0.7373918498135634,0.7413403458543194,-59927.59716825787,0.6997847798717229,0.7042759585010613
15,16,0.8819065093994141,0.40437984466552734,70.08597912524284,0.7369661560271872,0.7411577620468778,-58451.1242727276,0.6617347485443552,0.6670842564099958
16,17,1.0900022983551025,0.6620380878448486,71.61451617015105,0.7274209410356244,0.7320781826187578,-57504.933872806825,0.6920351457140425,0.6970873279077855
17,18,1.3235185146331787,0.6964335441589355,73.21794000515304,0.7190093553017454,0.7240336863553226,-56402.095459253615,0.6763160565165143,0.6819169133728739
18,19,1.494464635848999,0.5520401000976562,75.04985838251392,0.7127000520086362,0.7180592942735501,-54316.96550727238,0.718491024663732,0.7234441542709502
19,20,1.0785729885101318,0.4530360698699951,78.69673005904455,0.7329477401720362,0.7381601301485691,-53345.91081760695,0.6833272756717577,0.6893202327277956
20,21,1.0894415378570557,0.773503303527832,79.22647178000926,0.7074220945024657,0.7134462182955392,-52783.11608026176,0.7125484911521279,0.7182122109407336
21,22,1.2430078983306885,0.6224875450134277,79.58226891248907,0.705290078059372,0.7115010997690376,-51532.10862563772,0.7060233335032163,0.7119249721556584
22,23,1.0485482215881348,0.7279472351074219,82.027910054774,0.7067172163027169,0.7131383405040558,-49961.229484687385,0.6845519196161111,0.691554660964073
23,24,1.3904473781585693,0.5698857307434082,84.28270269859334,0.7018877863265031,0.7086354585185518,-50230.701155939714,0.727326647431313,0.733127093136892
