,Kurtosis,Skew,Variance,Mean,N Components
0,0.0,0.0,0.0,0.0,0.0
1,9.239254530576083,4.772061243887526e-07,3.3333333333333145e-05,-1.1350241493207625e-19,1.0
2,1.3785956535920212,-7.560387273190616e-07,6.666666666666426e-05,8.089164646278568e-19,2.0
3,2.5076780856366288,7.598924056772004e-08,9.999999999982968e-05,1.2027867851011065e-18,3.0
4,67.88217901963449,-3.3160865271816206e-06,0.00013333333333330802,-6.844026213814747e-19,4.0
5,73.75551769759248,-6.754162042557409e-06,0.00016666666666666368,-5.082197683525802e-21,5.0
6,49.01322938595012,-2.791346817575522e-07,0.00020000000004930722,-2.0040799532036746e-18,6.0
7,45.760377523402745,-8.388828466150977e-06,0.0002333333333329362,1.212951180468158e-18,7.0
8,36.8716816769948,-3.922827064477584e-06,0.0002666666666665466,-2.3056236824262055e-18,8.0
9,30.490360245920648,-1.0414625640996264e-05,0.00029999999999949777,1.2027867851011065e-18,9.0
