,N Clusters,Gaussian Mixture Timing,K-Means Timing,Gaussian Mixture Score,Gaussian Mixture AMI,Gaussian Mixture NMI,K-Means Score,K-Means AMI,K-Means NMI
0,1,0.10546684265136719,0.15053272247314453,-22.643221526615445,2.016973086753236e-14,6.723243622720976e-15,-660000.0000000001,2.016973086753236e-14,6.723243622720976e-15
1,2,1.2785332202911377,0.7704570293426514,-11.738102466284161,0.0180254499909581,0.018053651048722263,-543108.5326779683,0.0010268366452071342,0.0010625656322277473
2,3,1.2610023021697998,1.180487871170044,9.04478019680964,0.0634256841428179,0.06347115814254714,-464015.97692353046,0.07351603407161925,0.07356598097882783
3,4,2.0960066318511963,1.346923589706421,10.573668294292196,0.060831470228231044,0.06089367349713795,-435627.65342906886,0.04663909738678456,0.04669388095174383
4,5,3.849357843399048,2.2555091381073,14.448859116198207,0.04576775579343895,0.04583247942164658,-411061.5616161557,0.04410398586313421,0.044171474670140036
5,6,7.295497417449951,3.0115039348602295,16.878485132606393,0.04841358148497452,0.048486653366413814,-392301.06739389006,0.04326378422618805,0.04334536658145803
6,7,6.064018487930298,2.8005313873291016,15.096755434235195,0.05589145879876133,0.05598601289619433,-379746.0802870748,0.038752056742766994,0.038838863485400596
7,8,10.060903310775757,3.3360838890075684,16.222008073168233,0.04030676488903838,0.04040099264512887,-362401.64641451277,0.0450825543841913,0.04517745427172163
8,9,9.97550368309021,3.6919894218444824,15.636396397975657,0.03969232798738996,0.03979511705374672,-352013.29217133793,0.045317230082697856,0.045426473708755605
9,10,12.306511402130127,4.400976181030273,21.063236966543098,0.04709695418066098,0.047215300226463086,-337958.28231441596,0.04429714300131483,0.04441769470836394
10,11,17.077418327331543,4.671088457107544,19.249137080401344,0.045198363048343106,0.04533143872418627,-326819.08558807126,0.04039811551004974,0.04052193568089868
11,12,25.14344835281372,5.689544916152954,20.020122530677842,0.041609247313089515,0.04174711169463046,-316664.08854043845,0.04113305118731803,0.04126638325251107
12,13,18.418498277664185,5.610965013504028,21.216634781056268,0.04176345537773997,0.04190283121496171,-308809.722099645,0.04097602094263327,0.04112140504485702
13,14,12.117017984390259,5.909497261047363,25.28138119537481,0.05389534772202436,0.05405250166317445,-297098.1543887106,0.0381669030414643,0.0383187467432383
14,15,16.108044385910034,7.500990390777588,25.465547253968023,0.052521273846044145,0.052686760803029434,-288754.6659970698,0.03724589635379494,0.03740542579259672
15,16,43.23321318626404,6.966005563735962,25.736504015569903,0.048227067666485005,0.04839241792420266,-281910.23783786665,0.039193882874127436,0.03936573012355925
16,17,42.797117710113525,7.410458326339722,25.447036600196846,0.04868536782720002,0.04886054579868275,-276007.57021620567,0.03960617434679585,0.039791965701245095
17,18,44.16749668121338,7.6839892864227295,25.611752008722522,0.04760081939359235,0.04778900286748774,-267415.288885267,0.036712179798764684,0.03689934880612021
18,19,50.03508234024048,9.607735872268677,26.15373198847524,0.04437755305589942,0.04456896696800639,-264606.7287737498,0.037987107014356265,0.038191120544288325
19,20,55.857683420181274,8.714314460754395,26.74470769411888,0.04567299253513555,0.04587383071382942,-254364.60448487985,0.03849283599148686,0.03869899671992866
20,21,27.183338403701782,8.614691257476807,29.27816616079211,0.041096350169689516,0.041305260787972566,-252337.57881680204,0.04171176154157038,0.041916692963181915
21,22,56.40614867210388,6.12503981590271,30.094922324667845,0.041613078146952316,0.0418273519299555,-247959.43014360513,0.03584944827735576,0.03605936277802112
22,23,57.50716304779053,9.976983308792114,29.6040954452528,0.03750945027254732,0.03773203587113465,-242359.00432848185,0.036732249281505217,0.03695596595553547
23,24,37.199535846710205,10.44150424003601,29.74908195683939,0.03772331756973661,0.03795121093200987,-241455.68026273185,0.034335620981445894,0.03456454863468536
